,city,lat,lng,country,capital,population
4224,Santiago,16.6833,121.55,Philippines,admin,148580.0
4225,Bandar-e Anzalī,37.4728,49.4622,Iran,minor,148564.0
4226,Iruma,35.8358,139.3911,Japan,,145778.0
4227,Kastamonu,41.3764,33.7764,Turkey,admin,148931.0
4228,Naperville,41.748,-88.1659,United States,,149013.0
4229,Dongsheng,22.8869,113.4563,China,,147228.0
4230,Sitārganj,28.93,79.7,India,,148266.0
4231,Marvdasht,29.8742,52.8025,Iran,minor,148858.0
4232,Chingola,-12.5333,27.85,Zambia,,147448.0
4233,Riobamba,-1.6731,-78.6483,Ecuador,admin,146324.0
4234,Szombathely,47.2351,16.6219,Hungary,admin,147920.0
4235,Jean-Rabel,19.85,-73.2,Haiti,,148416.0
4236,Hābra,22.83,88.63,India,,147221.0
4237,Mostaganem,35.9333,0.0833,Algeria,admin,145696.0
4238,Harlingen,26.1916,-97.6977,United States,,148545.0
4239,Tuscaloosa,33.2348,-87.5268,United States,,148523.0
4240,Al ‘Aqabah,29.5319,35.0056,Jordan,admin,148398.0
4241,Pemba,-12.9667,40.55,Mozambique,admin,141316.0
4242,Nowgong,26.3492,92.6861,India,,147137.0
4243,Quilpué,-33.05,-71.45,Chile,minor,147991.0
4244,Sibiu,45.7928,24.1519,Romania,admin,147245.0
4245,Yonago,35.4333,133.3333,Japan,,147210.0
4246,Dundee,56.462,-2.9707,United Kingdom,,148280.0
4247,Disūq,31.1422,30.645,Egypt,,143404.0
4248,Kopeysk,55.1,61.6167,Russia,,147573.0
4249,Lüleburgaz,41.4056,27.3569,Turkey,minor,148037.0
4250,Al Ḩawīyah,21.4411,40.4975,Saudi Arabia,,148151.0
4251,Salamanca,40.965,-5.6642,Spain,minor,143269.0
4252,Mbanza Kongo,-6.2667,14.25,Angola,admin,148000.0
4253,Nchelenge,-9.3533,28.7403,Zambia,,147927.0
4254,Zhangaözen,43.3378,52.8553,Kazakhstan,,147962.0
4255,Turbat,26.0031,63.0544,Pakistan,minor,147791.0
4256,Mati,6.9483,126.2272,Philippines,admin,147547.0
4257,Mangghystaū,43.6905,51.1417,Kazakhstan,,147443.0
4258,Malakal,9.55,31.65,South Sudan,admin,147450.0
4259,Elkhart,41.6916,-85.9627,United States,,147679.0
4260,Osorno,-40.5725,-73.1353,Chile,minor,147460.0
4261,Al Qurayyāt,31.3167,37.3667,Saudi Arabia,,147550.0
4262,Vólos,39.3667,22.9333,Greece,minor,144449.0
4263,Bacău,46.5833,26.9167,Romania,admin,144307.0
4264,Mogi Guaçu,-22.3719,-46.9419,Brazil,,147233.0
4265,Pyatigorsk,44.05,43.0667,Russia,,145836.0
4266,Moshi,-3.3349,37.3404,Tanzania,admin,144739.0
4267,Payatas,14.7099,121.0997,Philippines,,130333.0
4268,Torrance,33.8346,-118.3416,United States,,147156.0
4269,Dar‘ā,32.6189,36.1021,Syria,admin,146481.0
4270,Ramapo,41.1404,-74.1072,United States,,147119.0
4271,Cairns,-16.92,145.78,Australia,,146778.0
4272,Bīr,18.9833,75.7667,India,,146709.0
4273,Poole,50.7167,-1.9833,United Kingdom,,144800.0
4274,Rubtsovsk,51.5167,81.2,Russia,,145333.0
4275,Negombo,7.2111,79.8386,Sri Lanka,,142136.0
4276,Cam Ranh,11.902,109.2207,Vietnam,,146771.0
4277,Maquela do Zombo,-6.05,15.1167,Angola,,146908.0
4278,Wamba,2.1442,27.9929,Congo (Kinshasa),,146871.0
4279,Binghamton,42.1014,-75.9093,United States,,146870.0
4280,Odintsovo,55.6667,37.2667,Russia,,146574.0
4281,Dadu,26.7319,67.775,Pakistan,minor,146179.0
4282,Franco da Rocha,-23.3286,-46.7244,Brazil,,145755.0
4283,Houma,29.58,-90.7059,United States,,146665.0
4284,Misato,35.8301,139.8723,Japan,,141913.0
4285,Le Mans,48.0077,0.1984,France,minor,143847.0
4286,Etah,27.63,78.67,India,,145601.0
4287,Keren,15.7778,38.4581,Eritrea,admin,146500.0
4288,Topeka,39.0346,-95.6955,United States,admin,146473.0
4289,Nārnaul,28.0444,76.1056,India,,145897.0
4290,Calapan,13.414,121.18,Philippines,admin,145786.0
4291,Colina,-33.2017,-70.6703,Chile,minor,146207.0
4292,Kolomna,55.0833,38.7833,Russia,,144125.0
4293,Lárisa,39.6417,22.4167,Greece,admin,144651.0
4294,Yima,34.7473,111.8609,China,,144779.0
4295,Bhāndāria,22.4883,90.0733,Bangladesh,,145233.0
4296,Pauktaw,20.15,92.9,Myanmar,,145957.0
4297,Abohar,30.1334,74.2001,India,,145302.0
4298,Parnaíba,-2.905,-41.7769,Brazil,,145705.0
4299,García,25.8167,-100.5833,Mexico,minor,145867.0
4300,Taungdwingyi,20.0017,95.5461,Myanmar,,145909.0
4301,Urdaneta,15.9761,120.5711,Philippines,,144577.0
4302,Aalborg,57.05,9.9167,Denmark,admin,143598.0
4303,Barrechid,33.2667,-7.5833,Morocco,,136634.0
4304,Arayat,15.1493,120.7692,Philippines,,144875.0
4305,Settat,33.0,-7.6167,Morocco,,142250.0
4306,Khairpur Mir’s,27.5333,68.7667,Pakistan,minor,144949.0
4307,Aix-en-Provence,43.5263,5.4454,France,minor,145133.0
4308,Bocaue,14.8,120.9333,Philippines,,141412.0
4309,Baní,18.29,-70.33,Dominican Republic,minor,145595.0
4310,Xintang,22.7824,113.1514,China,,144537.0
4311,Matanzas,23.0511,-81.5753,Cuba,admin,145246.0
4312,Roseville,38.7703,-121.3196,United States,,145687.0
4313,San Justo,-34.6833,-58.55,Argentina,minor,136604.0
4314,Qūchān,37.106,58.5095,Iran,minor,145531.0
4315,Yalova,40.6556,29.275,Turkey,admin,144407.0
4316,Berezniki,59.4167,56.7833,Russia,,145115.0
4317,Kaithal,29.8015,76.3998,India,,144915.0
4318,Shillong,25.5744,91.8789,India,admin,143229.0
4319,Thanatpin,17.2942,96.58,Myanmar,,145287.0
4320,Ereğli,37.5167,34.05,Turkey,minor,145389.0
4321,Villa de Cura,10.0383,-67.4892,Venezuela,minor,145098.0
4322,Kusatsu,35.0167,135.9667,Japan,,143230.0
4323,David,8.4333,-82.4333,Panama,admin,144858.0
4324,Kakamigahara,35.3988,136.8484,Japan,,143641.0
4325,Khān Yūnis,31.3444,34.3031,Gaza Strip,,142637.0
4326,Fairfield,38.2583,-122.0335,United States,,145163.0
4327,Cuautitlán Izcalli,19.65,-99.25,Mexico,minor,140059.0
4328,Al Mukallā,14.5333,49.1333,Yemen,admin,144137.0
4329,Santamesa,14.6,121.0167,Philippines,,110073.0
4330,Comayagua,14.4522,-87.6383,Honduras,admin,144785.0
4331,Okinawa,26.3342,127.8056,Japan,,142094.0
4332,Flores,16.9333,-89.8833,Guatemala,admin,144932.0
4333,Barranca,-10.7541,-77.761,Peru,,144381.0
4334,Khasavyurt,43.25,46.5833,Russia,minor,141259.0
4335,Saguenay,48.4167,-71.0667,Canada,,144746.0
4336,Gisenyi,-1.7,29.25,Rwanda,,136830.0
4337,Kumba,4.6333,9.45,Cameroon,,144268.0
4338,Mehtar Lām,34.6683,70.2089,Afghanistan,admin,144162.0
4339,Chhatarpur,24.9177,79.5887,India,,143982.0
4340,Bizerte,37.2778,9.8639,Tunisia,admin,142966.0
4341,Ruse,43.8231,25.9539,Bulgaria,admin,143931.0
4342,Malasiqui,15.9167,120.4167,Philippines,,143094.0
4343,Debre Birhan,9.6833,39.5333,Ethiopia,,139724.0
4344,Bandundu,-3.3167,17.3667,Congo (Kinshasa),admin,143435.0
4345,Koiridih,24.18,86.3,India,,143529.0
4346,Tyler,32.3184,-95.3062,United States,,143895.0
4347,Qabr as Sitt,33.4472,36.3361,Syria,,136427.0
4348,Coimbra,40.2111,-8.4292,Portugal,admin,143396.0
4349,Calabayan,16.7667,121.7833,Philippines,,143403.0
4350,Nawābganj,24.6,88.2667,Bangladesh,,142361.0
4351,Rewāri,28.18,76.62,India,,143021.0
4352,Birkenhead,53.393,-3.014,United Kingdom,,142968.0
4353,Altay,47.8666,88.1166,China,minor,142000.0
4354,Ashikaga,36.3402,139.4497,Japan,,142882.0
4355,Ghaznī,33.5492,68.4233,Afghanistan,admin,143379.0
4356,Yopal,5.35,-72.41,Colombia,admin,143619.0
4357,Bilbays,30.4167,31.5667,Egypt,,141285.0
4358,Jaú,-22.2958,-48.5578,Brazil,,143283.0
4359,Huelva,37.25,-6.95,Spain,minor,142538.0
4360,Kumbakonam,10.9602,79.3845,India,,140156.0
4361,Lévis,46.8,-71.1833,Canada,,143414.0
4362,Bhīmavaram,16.543,81.523,India,,142184.0
4363,Jaraguá do Sul,-26.4833,-49.0667,Brazil,,143123.0
4364,Jinjiang,19.7386,110.0058,China,minor,142948.0
4365,Blackpool,53.8142,-3.0503,United Kingdom,,139305.0
4366,Cizre,37.332,42.187,Turkey,minor,143124.0
4367,Paghmān,34.5833,68.95,Afghanistan,,143000.0
4368,Los Ángeles,-37.4667,-72.35,Chile,minor,143023.0
4369,Sannār,13.55,33.5833,Sudan,,143059.0
4370,Elbistan,38.2014,37.1883,Turkey,minor,143000.0
4371,Boca Chica,18.4539,-69.6064,Dominican Republic,,142019.0
4372,Telford,52.6766,-2.4469,United Kingdom,,142723.0
4373,Fullerton,33.8841,-117.9279,United States,,142964.0
4374,Kamālshahr,35.8653,50.8814,Iran,,141669.0
4375,Preston,53.759,-2.699,United Kingdom,,141801.0
4376,Lichinga,-13.3167,35.2333,Mozambique,admin,142253.0
4377,Brest,48.39,-4.49,France,minor,139926.0
4378,Pueblo,38.2701,-104.6114,United States,,142727.0
4379,Teluknaga,-6.0989,106.6381,Indonesia,,138330.0
4380,Moundou,8.5667,16.0833,Chad,admin,142462.0
4381,Tetovo,42.0103,20.9714,Macedonia,admin,142030.0
4382,Nizip,37.01,37.7972,Turkey,minor,142389.0
4383,Lausanne,46.5198,6.6335,Switzerland,admin,139111.0
4384,Bahawalnagar,29.9928,73.2536,Pakistan,minor,141935.0
4385,Maykop,44.6,40.0833,Russia,admin,141970.0
4386,Fukayachō,36.1975,139.2815,Japan,,141336.0
4387,Athens,33.9508,-83.3689,United States,,142277.0
4388,Santa Maria,34.9333,-120.4431,United States,,142230.0
4389,Dehri,24.91,84.18,India,,137231.0
4390,Gweru,-19.4614,29.8022,Zimbabwe,admin,141260.0
4391,Tabaco,13.35,123.7333,Philippines,,140961.0
4392,Kelowna,49.8881,-119.4956,Canada,,142146.0
4393,Kisaran,2.9833,99.6125,Indonesia,minor,141915.0
4394,Namacunde,-17.3,15.85,Angola,,142047.0
4395,Mandsaur,24.03,75.08,India,,141667.0
4396,Boulogne-Billancourt,48.8352,2.2409,France,minor,121583.0
4397,Rybnik,50.0833,18.55,Poland,minor,141000.0
4398,Surprise,33.6815,-112.4515,United States,,141875.0
4399,Nong’an,44.419,125.1702,China,minor,141482.0
4400,Inezgane,30.3658,-9.5381,Morocco,,130333.0
4401,Rize,41.0247,40.5222,Turkey,admin,141143.0
4402,Rio das Ostras,-22.5269,-41.945,Brazil,,141117.0
4403,Vlorë,40.4667,19.4833,Albania,admin,130827.0
4404,Bondoukou,8.0333,-2.8,Côte d'Ivoire,admin,141568.0
4405,Fujita,34.8674,138.2577,Japan,,140947.0
4406,Jahrom,28.5,53.5606,Iran,minor,141634.0
4407,Charleston,38.3484,-81.6322,United States,admin,141640.0
4408,Jyväskylä,62.2417,25.7417,Finland,admin,141441.0
4409,Lleida,41.6167,0.6333,Spain,minor,140797.0
4410,Middlesbrough,54.5767,-1.2355,United Kingdom,,140545.0
4411,Khuzdar,27.8,66.6167,Pakistan,,141395.0
4412,Tepatitlán de Morelos,20.817,-102.733,Mexico,minor,141322.0
4413,Las Cruces,32.3265,-106.7893,United States,,141399.0
4414,Abbotsford,49.05,-122.3167,Canada,,141397.0
4415,Batu Pahat,1.85,102.93,Malaysia,,140000.0
4416,Krugersdorp,-26.1,27.7667,South Africa,,140643.0
4417,Porac,15.0719,120.5419,Philippines,,140751.0
4418,Ozamiz City,8.15,123.85,Philippines,,140334.0
4419,Pécs,46.0708,18.2331,Hungary,admin,140237.0
4420,Las Margaritas,16.3667,-91.7333,Mexico,minor,141027.0
4421,Tours,47.3936,0.6892,France,minor,137087.0
4422,Kovrov,56.3683,41.3108,Russia,,138552.0
4423,Shizhaobi,23.921,115.7774,China,,140493.0
4424,Kokubunji,35.7109,139.4622,Japan,,129619.0
4425,Tottenham,51.5975,-0.0681,United Kingdom,,129237.0
4426,Mejicanos,13.7333,-89.2167,El Salvador,,140751.0
4427,Ebina,35.4464,139.3908,Japan,,135557.0
4428,Paranaguá,-25.5208,-48.5094,Brazil,,140469.0
4429,Iguala de la Independencia,18.345,-99.5383,Mexico,minor,140363.0
4430,Metairie,29.9977,-90.178,United States,,140590.0
4431,Thornton,39.9197,-104.9438,United States,,140538.0
4432,Masaya,11.9764,-86.0875,Nicaragua,admin,139582.0
4433,Médéa,36.2675,2.75,Algeria,admin,138355.0
4434,Yaritagua,10.0753,-69.1283,Venezuela,minor,140256.0
4435,Xiangcheng,25.4775,100.5555,China,minor,140010.0
4436,Fusagasugá,4.3452,-74.3618,Colombia,minor,139805.0
4437,Olathe,38.8833,-94.82,United States,,140339.0
4438,Nāḩiyat Ghammās,31.7431,44.6194,Iraq,,140000.0
4439,La Romana,18.43,-68.97,Dominican Republic,admin,139671.0
4440,Giá Rai,9.25,105.417,Vietnam,,139748.0
4441,Tanay,14.4972,121.2864,Philippines,,139420.0
4442,Medina Estates,5.6833,-0.1667,Ghana,,137162.0
4443,Ituzaingó,-34.6667,-58.6667,Argentina,minor,135275.0
4444,Torbat-e Ḩeydarīyeh,35.2739,59.2194,Iran,minor,140019.0
4445,Quảng Yên,20.917,106.833,Vietnam,minor,139596.0
4446,Momostenango,15.0444,-91.4083,Guatemala,minor,139552.0
4447,Dawei,14.0833,98.2,Myanmar,admin,139900.0
4448,Kombolcha,11.0867,39.7367,Ethiopia,,125654.0
4449,Kuwana,35.0667,136.6833,Japan,,138798.0
4450,Subang,-6.5714,107.7614,Indonesia,minor,139046.0
4451,Atbara,17.6972,33.9783,Sudan,,139768.0
4452,Norrköping,58.6,16.2,Sweden,minor,137326.0
4453,Carolina,18.4054,-65.9792,Puerto Rico,,139735.0
4454,Poblacion,14.3854,121.029,Philippines,,120115.0
4455,Pakpattan,30.35,73.4,Pakistan,minor,139525.0
4456,Chicacole,18.3,83.9,India,,137944.0
4457,Jicheon,36.1333,128.1,South Korea,,139477.0
4458,Botucatu,-22.8858,-48.445,Brazil,,139483.0
4459,Gainesville,34.2902,-83.8294,United States,,139507.0
4460,Minō,34.8269,135.4704,Japan,,136976.0
4461,Shizuishan,39.2333,106.769,China,,136570.0
4462,La Trinidad,16.4621,120.5877,Philippines,admin,137404.0
4463,West Valley City,40.6886,-112.0123,United States,,139361.0
4464,Koga,36.1782,139.7554,Japan,,138237.0
4465,Sale,53.424,-2.322,United Kingdom,,134022.0
4466,Coquitlam,49.2839,-122.7919,Canada,,139284.0
4467,Orange,33.8038,-117.8218,United States,,139195.0
4468,San José del Cabo,23.0614,-109.7081,Mexico,minor,136285.0
4469,Jacmel,18.2353,-72.5367,Haiti,admin,137966.0
4470,Ishizaki,38.4176,141.3027,Japan,,138856.0
4471,Al Khmissat,33.8167,-6.0667,Morocco,,131542.0
4472,Ingolstadt,48.7631,11.425,Germany,minor,138016.0
4473,Çarşamba,41.1992,36.7275,Turkey,minor,138840.0
4474,Renca,-33.4,-70.7167,Chile,,133518.0
4475,Warren,42.4934,-83.027,United States,,138996.0
4476,Bat Yam,32.0167,34.75,Israel,,128800.0
4477,Candelaria,13.9311,121.4233,Philippines,minor,137881.0
4478,Tsuchiura,36.0667,140.2,Japan,,137825.0
4479,Pīrānshahr,36.6956,45.1467,Iran,minor,138864.0
4480,Umtata,-31.58,28.79,South Africa,,137772.0
4481,Pasadena,34.1597,-118.139,United States,,138771.0
4482,Dipolog,8.5872,123.3408,Philippines,admin,138141.0
4483,Sancti Spíritus,21.9339,-79.4439,Cuba,admin,138504.0
4484,Bukoba,-1.3333,31.8167,Tanzania,admin,128796.0
4485,Koganei,35.6995,139.503,Japan,,127226.0
4486,Tultepec,19.685,-99.1281,Mexico,minor,131567.0
4487,Dos Hermanas,37.2836,-5.9222,Spain,,137561.0
4488,Jolo,6.0,121.0,Philippines,admin,137266.0
4489,Montero,-17.3422,-63.2558,Bolivia,,137931.0
4490,Boca del Rio,19.1056,-96.1078,Mexico,minor,138058.0
4491,Dabou,5.3167,-4.3833,Côte d'Ivoire,admin,138083.0
4492,Phủ Lý,20.5411,105.9139,Vietnam,admin,136654.0
4493,Zama,35.4833,139.4,Japan,,130753.0
4494,Brusque,-27.0949,-48.9148,Brazil,,137689.0
4495,Shūnan,34.05,131.8,Japan,,137899.0
4496,Dumaguete City,9.3103,123.3081,Philippines,admin,134103.0
4497,Mojokerto,-7.4722,112.4336,Indonesia,,130196.0
4498,Darwin,-12.4381,130.8411,Australia,admin,136828.0
4499,Silivri,41.0736,28.2478,Turkey,minor,137861.0
4500,Mandya,12.5242,76.8958,India,,137358.0
4501,Ch’ungmu,34.8333,128.4167,South Korea,,137208.0
4502,Tarragona,41.1187,1.2453,Spain,minor,135436.0
4503,Birgañj,27.0,84.8667,Nepal,,135904.0
4504,Iğdır,39.9208,44.0444,Turkey,admin,137613.0
4505,Palhoça,-27.6444,-48.6678,Brazil,,137334.0
4506,Lira,2.2472,32.9,Uganda,admin,135445.0
4507,Carcar,10.1167,123.6333,Philippines,,136453.0
4508,Negage,-7.7667,15.2667,Angola,,137559.0
4509,Gunungsitoli,1.2833,97.6167,Indonesia,minor,137104.0
4510,Beaumont,30.0849,-94.1451,United States,,137549.0
4511,Yunxian Chengguanzhen,32.8082,110.8136,China,minor,133558.0
4512,Cunduacán,18.0667,-93.1667,Mexico,minor,137257.0
4513,Atibaia,-23.1172,-46.5506,Brazil,,137187.0
4514,Rangkasbitung,-6.3667,106.25,Indonesia,minor,137041.0
4515,Amiens,49.892,2.299,France,minor,134706.0
4516,Bānkura,23.25,87.0667,India,,137386.0
4517,Kigoma,-4.8833,29.6333,Tanzania,admin,135234.0
4518,Vila Franca de Xira,38.95,-8.9833,Portugal,minor,136886.0
4519,Quillacollo,-17.4,-66.2833,Bolivia,,137182.0
4520,Myebon,20.05,93.3667,Myanmar,,137193.0
4521,Garanhuns,-8.8903,-36.4928,Brazil,,136949.0
4522,Minoo,34.8333,135.4667,Japan,,134435.0
4523,Bima,-8.46,118.7267,Indonesia,,136492.0
4524,Kisarazu,35.376,139.9168,Japan,,136118.0
4525,Burlington,36.076,-79.4685,United States,,137096.0
4526,Livingstone,-17.85,25.8667,Zambia,,136897.0
4527,Curicó,-34.9833,-71.2333,Chile,minor,136954.0
4528,Porto Amboim,-10.7183,13.75,Angola,,137000.0
4529,Parla,40.2372,-3.7742,Spain,,131689.0
4530,Nasugbu,14.0667,120.6333,Philippines,,136524.0
4531,Siwān,26.22,84.36,India,,135066.0
4532,Long Bình,10.9458,106.8775,Vietnam,,133206.0
4533,Igboho,8.8333,3.75,Nigeria,minor,136772.0
4534,Gingoog,8.8167,125.1,Philippines,,136698.0
4535,Maia,41.2333,-8.6167,Portugal,minor,135306.0
4536,Uppsala,59.8601,17.64,Sweden,,133117.0
4537,Yaizu,34.8669,138.3247,Japan,,136028.0
4538,Khargone,21.8229,75.6139,India,,136551.0
4539,Hampton,37.0551,-76.363,United States,,136748.0
4540,Marīvān,35.5269,46.1764,Iran,minor,136654.0
4541,Columbia,38.9472,-92.3268,United States,,136736.0
4542,Huehuetenango,15.3147,-91.4761,Guatemala,admin,136639.0
4543,Inazawa,35.2647,136.7969,Japan,,134938.0
4544,Stara Zagora,42.4333,25.65,Bulgaria,admin,136475.0
4545,Quimbele,-6.5167,16.2167,Angola,,136496.0
4546,Chech’ŏn,37.1333,128.2167,South Korea,,136350.0
4547,Norzagaray,14.9167,121.05,Philippines,,136064.0
4548,Port-Gentil,-0.7167,8.7833,Gabon,admin,136462.0
4549,Tiraspol,46.8403,29.6433,Moldova,admin,133807.0
4550,Pageralam,-4.0217,103.2522,Indonesia,minor,136244.0
4551,Debre Mark’os,10.3333,37.7167,Ethiopia,,133810.0
4552,Tizi Ouzou,36.7169,4.0497,Algeria,admin,135088.0
4553,Tây Ninh,11.3678,106.1189,Vietnam,admin,135254.0
4554,Giresun,40.9153,38.3894,Turkey,admin,135920.0
4555,Maijdi,22.8333,91.1,Bangladesh,,130842.0
4556,Ksar El Kebir,35.009,-5.9,Morocco,,126617.0
4557,Torrejón de Ardoz,40.4614,-3.4978,Spain,,134733.0
4558,Termiz,37.2167,67.2833,Uzbekistan,admin,136200.0
4559,Zinacantepec,19.2833,-99.7333,Mexico,minor,136167.0
4560,Mabacun,24.6807,113.5936,China,,134396.0
4561,Floridablanca,14.9333,120.5,Philippines,,135542.0
4562,Salerno,40.6806,14.7597,Italy,minor,133970.0
4563,Rionegro,6.1535,-75.3743,Colombia,minor,135465.0
4564,Ağcabədi,40.0528,47.4614,Azerbaijan,admin,136000.0
4565,Blitar,-8.1,112.15,Indonesia,,132018.0
4566,Târgu-Mureş,46.5456,24.5625,Romania,admin,134290.0
4567,Yuma,32.5995,-114.5491,United States,,135933.0
4568,Brighton,50.8208,-0.1375,United Kingdom,,134293.0
4569,Toowoomba,-27.5667,151.95,Australia,,135631.0
4570,Tobruk,32.0761,23.9614,Libya,admin,135832.0
4571,Srīpur,24.2011,90.4843,Bangladesh,,132948.0
4572,Elizabeth,40.6658,-74.1913,United States,,135772.0
4573,Raigarh,21.8,83.3,India,,135363.0
4574,Sukrah,36.8833,10.25,Tunisia,,129693.0
4575,Pyay,18.8167,95.2167,Myanmar,,135308.0
4576,Tabarre,18.5833,-72.2667,Haiti,,130283.0
4577,Ruda Śląska,50.2628,18.8536,Poland,minor,133793.0
4578,Shuangcheng,45.3503,126.28,China,minor,130710.0
4579,Angono,14.5234,121.1536,Philippines,,130494.0
4580,Cartago,4.7,-75.9167,Colombia,minor,134972.0
4581,Yelahanka,13.1007,77.5963,India,,119891.0
4582,Paco,14.583,120.983,Philippines,,79839.0
4583,May Pen,17.965,-77.245,Jamaica,admin,135142.0
4584,Racine,42.7274,-87.8135,United States,,135352.0
4585,Zafarwal,32.3463,74.8999,Pakistan,,134275.0
4586,Greeley,40.4152,-104.7706,United States,,135270.0
4587,Andīmeshk,32.46,48.3592,Iran,minor,135116.0
4588,Ipetumodu,7.507,4.4447,Nigeria,minor,135000.0
4589,Conchalí,-33.3833,-70.675,Chile,,133256.0
4590,Agboville,5.9333,-4.2167,Côte d'Ivoire,minor,135082.0
4591,Djakotomé,6.9,1.7167,Benin,,134704.0
4592,Santa Rita,-7.1139,-34.9778,Brazil,,134940.0
4593,Silopi,37.2486,42.4703,Turkey,minor,134754.0
4594,Daraga,13.1619,123.6939,Philippines,,133893.0
4595,Shahreẕā,32.0089,51.8667,Iran,minor,134952.0
4596,Milagro,-2.1347,-79.5872,Ecuador,,133508.0
4597,Nakhon Ratchasima,14.975,102.1,Thailand,admin,134440.0
4598,Zābol,31.0286,61.5011,Iran,minor,134950.0
4599,El Oued,33.3683,6.8675,Algeria,admin,134699.0
4600,Kent,47.3887,-122.2128,United States,,134890.0
4601,Ashqelon,31.6667,34.5667,Israel,,134454.0
4602,Mataró,41.5333,2.45,Spain,,129120.0
4603,Ba Đồn,17.7547,106.4231,Vietnam,minor,134000.0
4604,Stamford,41.1039,-73.5585,United States,,134820.0
4605,Odessa,31.8801,-102.3448,United States,,134793.0
4606,Teófilo Otoni,-17.8578,-41.505,Brazil,,134745.0
4607,Hagonoy,14.8333,120.7333,Philippines,,133448.0
4608,Laghouat,33.8,2.865,Algeria,admin,134372.0
4609,Mörön,49.6356,100.1556,Mongolia,admin,134530.0
4610,Apatzingan de la Constitucion,19.0886,-102.3508,Mexico,,128250.0
4611,Aaley,33.8,35.6,Lebanon,minor,130000.0
4612,Famalicão,41.4167,-8.5167,Portugal,minor,133832.0
4613,Naga,10.2167,123.75,Philippines,,133184.0
4614,Trois-Rivières,46.35,-72.55,Canada,,134413.0
4615,Bloomington,40.4757,-88.9703,United States,,134357.0
4616,Veszprém,47.093,17.9138,Hungary,admin,133880.0
4617,Zhangmu Touwei,22.9078,114.0603,China,,132816.0
4618,Miramar,25.9773,-80.3351,United States,,134306.0
4619,Londuimbali,-12.2186,15.285,Angola,,134254.0
4620,Reẖovot,31.8981,34.8081,Israel,,132671.0
4621,Navoiy,40.0844,65.3792,Uzbekistan,admin,134100.0
4622,Grand Junction,39.0877,-108.5673,United States,,134074.0
4623,Sterling Heights,42.5809,-83.0305,United States,,134062.0
4624,Batu Gajah,4.4667,101.05,Malaysia,,133422.0
4625,Tando Allahyar,25.4667,68.7167,Pakistan,minor,133487.0
4626,Luuq,3.6981,42.5972,Somalia,,134000.0
4627,Idfū,24.9778,32.8733,Egypt,,133772.0
4628,Ségou,13.45,-6.2667,Mali,admin,133501.0
4629,Isahaya,32.85,130.0667,Japan,,133512.0
4630,Chikmagalūr,13.3167,75.7833,India,,133651.0
4631,Innsbruck,47.2683,11.3933,Austria,admin,132493.0
4632,Ōme,35.788,139.2758,Japan,,132436.0
4633,Coral Springs,26.2702,-80.2591,United States,,133693.0
4634,Marituba,-10.2833,-36.4,Brazil,,133685.0
4635,Matagalpa,12.9286,-85.9178,Nicaragua,admin,133416.0
4636,Jijel,36.8206,5.7667,Algeria,admin,131513.0
4637,Jaramānā,33.4833,36.35,Syria,minor,114363.0
4638,Jandira,-23.5278,-46.9028,Brazil,,126356.0
4639,Ferfer,5.0833,45.0833,Ethiopia,,133521.0
4640,Gondiā,21.45,80.2,India,,132821.0
4641,Thandwe,18.4667,94.3667,Myanmar,,133484.0
4642,Hassan,13.005,76.1028,India,,133436.0
4643,Pitalito,1.8989,-76.0419,Colombia,minor,133205.0
4644,Bibémi,9.3167,13.8833,Cameroon,,133191.0
4645,Abiko,35.8667,140.0333,Japan,,130290.0
4646,Talavera,15.5839,120.9189,Philippines,,132338.0
4647,Khorramshahr,30.4397,48.1664,Iran,minor,133097.0
4648,Limoges,45.8353,1.2625,France,minor,131479.0
4649,Crato,-7.2339,-39.4089,Brazil,,133031.0
4650,Ouargla,31.95,5.3167,Algeria,admin,133024.0
4651,Ar Rass,25.8667,43.5,Saudi Arabia,,133000.0
4652,Sinop,-11.8481,-55.6492,Brazil,,132934.0
4653,San Carlos,10.4929,123.4095,Philippines,,132650.0
4654,Kipushi,-11.7625,27.25,Congo (Kinshasa),,132861.0
4655,Lincoln,53.2283,-0.5389,United Kingdom,,130200.0
4656,Palwal,28.143,77.329,India,,131926.0
4657,Annecy,45.916,6.133,France,minor,130721.0
4658,Mogaung,25.3014,96.9417,Myanmar,,132608.0
4659,Ödemiş,38.2311,27.9719,Turkey,minor,132511.0
4660,Kamëz,41.3833,19.7667,Albania,,126777.0
4661,Zagnanado,7.2667,2.35,Benin,,132401.0
4662,Cametá,-2.2439,-49.4958,Brazil,,132515.0
4663,Cubatão,-23.8953,-46.4256,Brazil,,131626.0
4664,Ibarra,0.3627,-78.1307,Ecuador,admin,131856.0
4665,San Luis,16.2,-89.44,Guatemala,minor,132470.0
4666,Palenque,17.4333,-91.8,Mexico,minor,132265.0
4667,Ferrara,44.8333,11.6167,Italy,minor,132278.0
4668,San Juan,18.81,-71.23,Dominican Republic,admin,132177.0
4669,Āwarē,8.2667,44.15,Ethiopia,,132149.0
4670,Karabük,41.1986,32.6264,Turkey,admin,131989.0
4671,Johnson City,36.3406,-82.3806,United States,,131902.0
4672,Saidpur,25.7781,88.8975,Bangladesh,,127104.0
4673,Chicomba,-14.1333,14.9167,Angola,,131807.0
4674,Pālghāt,10.7792,76.6547,India,,130955.0
4675,Guelph,43.55,-80.25,Canada,,131794.0
